"","observer_id","street_segment","no_of_graffiti","bars","liquor_stores","night_shops","night_clubs","restaurants","shops","hotels_or_hostels","offices","public_parking_lots","bus_or_tram_stops","schools","residences","surveillance_cameras","police_station","trees_along_street","public_seating","flower_beds","public_restrooms"
"1",89,"145328","1","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0"
"2",89,"145195","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0"
"3",89,"145322","2","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0"
"4",89,"145330","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"5",89,"145335","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","1","0"
"6",89,"34686","17","1","0","1","0","0","1","0","1","0","0","0","6","0","0","9","0","0","0"
"7",89,"33905","1","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0"
"8",89,"33878","1","0","0","0","0","1","0","0","0","0","1","1","3","0","0","0","1","0","0"
"9",89,"3929","14","1","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0"
"10",89,"33903","11","2","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
"11",89,"33907","0","1","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0"
"12",89,"33906","1","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0"
"13",89,"33880","0","0","0","0","0","2","1","0","0","0","0","1","2","0","0","0","0","0","0"
"14",89,"3917","4","0","0","0","0","0","0","0","0","1","0","1","3","0","0","1","0","1","0"
"15",89,"3918","19","0","0","0","0","1","2","0","0","0","0","1","7","0","0","0","0","0","0"
"16",89,"3934","0","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"17",2,"140454","5","2","0","0","0","0","1","1","0","0","0","1","5","5","0","4","0","0","0"
"18",2,"358749","10","0","0","0","0","0","0","1","0","1","0","0","2","2","0","0","0","0","0"
"19",2,"559471","4","1","0","0","1","0","1","1","1","1","0","0","4","3","0","1","0","0","0"
"20",2,"610557","1","0","0","0","0","0","0","0","1","1","0","0","2","1","0","0","0","0","0"
"21",2,"610547","13","0","0","0","0","0","1","0","1","0","0","0","3","2","0","0","0","0","0"
"22",2,"140590","0","0","0","0","0","0","0","1","2","1","0","0","1","3","0","0","0","0","0"
"23",2,"140443","1","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0"
"24",2,"140810","22","0","0","0","0","2","0","0","0","0","0","0","4","2","0","0","0","0","0"
"25",2,"140785","1","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0"
"26",2,"140436","30","0","0","0","0","1","1","0","1","0","0","0","5","2","0","0","0","0","0"
"27",2,"140591","14","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0"
"28",2,"140546","3","0","0","0","0","6","5","0","0","0","0","0","1","0","0","6","0","9","0"
"29",2,"140545","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","4","0","10","0"
"30",2,"611276","1","0","0","0","0","1","3","0","0","0","0","0","1","2","0","0","0","3","0"
"31",2,"140543","8","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"32",3,"141064","25","0","0","0","0","0","0","0","3","0","0","0","19","0","0","0","1","0","0"
"33",3,"141049","3","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0"
"34",3,"140837","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","2","0","0","0"
"35",3,"358669","7","0","0","0","0","0","0","0","1","0","0","0","33","0","0","0","0","0","0"
"36",3,"141052","1","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","4","0"
"37",3,"146945","0","0","0","0","0","0","1","0","0","0","0","0","12","0","0","0","1","0","0"
"38",3,"611040","22","0","0","0","0","0","0","0","7","0","0","0","27","0","0","50","4","0","0"
"39",3,"610958","3","0","0","0","0","0","0","0","1","0","0","0","38","0","0","0","0","0","0"
"40",3,"611144","0","0","0","0","0","0","0","0","5","0","0","0","17","0","0","15","0","0","0"
"41",3,"140975","5","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","6","0"
"42",3,"141048","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","10","0","0","0"
"43",3,"141030","3","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","3","0"
"44",135,"611263","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0"
"45",135,"611259","10","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","13","0"
"46",135,"141124","4","0","0","0","0","0","0","0","1","0","0","0","9","0","0","10","0","2","0"
"47",135,"21738","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"48",135,"141264","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"49",135,"610961","10","0","0","0","0","0","0","0","1","0","0","0","9","0","0","0","2","1","0"
"50",135,"141562","12","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"51",135,"141398","4","0","0","0","0","0","0","0","1","0","0","0","8","0","0",NA,"2","0","5"
"52",135,"141282","1","0","0","0","0","0","0","0","1","0","0","1","3","0","0","0","0","1","0"
"53",135,"140971","61","1","0","0","0","0","0","0","1","0","0","0","2","0","0","6","2","0","1"
"54",12,"90557","25","0","0","0","0","5","10","0","1","0","1","1","4","1","0","0","0","0","0"
"55",12,"3988","6","0","0","0","0","0","0","0","0","0","0","1","9","0","0","0","0","0","0"
"56",12,"3944","13","0","0","0","0","0","1","0","7","0","0","1","15","3","0","0","0","0","0"
"57",12,"3869","17","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0"
"58",12,"3795","17","0","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0","0"
"59",12,"33856","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60",12,"3947","2","0","0","0","0","0","0","0","4","0","0","0","25","0","0","0","0","0","0"
"61",12,"11490","60","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"62",12,"4011","2","0","0","0","0","0","2","0","2","0","0","0","4","0","0","0","0","0","0"
"63",12,"3966","3","0","0","0","0","0","0","0","1","0","0","0","6","0","0","1","0","0","0"
"64",12,"33914","6","0","0","0","0","1","0","0","3","0","0","1","18","0","0","0","0","0","0"
"65",12,"265582","18","1","0","0","0","3","1","0","1","1","2","2","6","4","0","0","0","2","0"
"66",12,"3791","31","0","0","0","0","6","3","0","0","0","0","1","2","0","0","0","0","0","0"
"67",13,"140899","2","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0"
"68",13,"141007","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0"
"69",13,"610987","1","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0"
